system:index,NDVI,date,.geo
2000_02_18,3953.9520897526427,2000-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05,3761.036563852197,2000-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_21,3455.774833013571,2000-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_06,3139.5446594690056,2000-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_22,3068.1524808012423,2000-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_08,3229.89296717992,2000-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_24,3274.6888064475916,2000-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_09,3591.16820960965,2000-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_25,3814.1860348399405,2000-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_11,3601.3902871184646,2000-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_27,4289.678433143988,2000-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_12,3827.142025641929,2000-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_28,5116.793209939376,2000-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_13,5527.141563577842,2000-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_29,5455.443126009711,2000-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_15,5104.830602752826,2000-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_31,4678.809652185653,2000-10-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_16,4387.939294913476,2000-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_02,4272.315676995979,2000-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_18,4175.868196115118,2000-12-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01,4270.351482972726,2001-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_17,4165.273633571629,2001-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_02,4017.271658779873,2001-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_18,3810.385557754409,2001-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_06,3623.6683369672705,2001-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_22,3307.5687029542096,2001-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_04_07,3196.817635689283,2001-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_04_23,3146.974850610778,2001-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_05_09,3160.139591402528,2001-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_05_25,3177.3046099637822,2001-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_06_10,2227.25398640187,2001-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_06_26,2865.7459070347386,2001-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_07_12,3312.4383367464766,2001-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_07_28,4335.286415693701,2001-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_08_13,4791.589879552188,2001-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_08_29,5325.015557775115,2001-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_09_14,5543.9860196611935,2001-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_09_30,5200.535522741213,2001-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_10_16,5253.403217892399,2001-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_11_01,4892.023271413341,2001-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_11_17,4629.067182628584,2001-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_12_03,4447.36004857778,2001-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_12_19,4424.350812645286,2001-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_01_01,4450.188573174152,2002-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_01_17,4456.371070680005,2002-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_02_02,4379.206802967585,2002-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
