-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2023 in LST
Location: Latitude  26.3826   Longitude 81.2102 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 114.69 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
GWETTOP         MERRA-2 Surface Soil Wetness (1) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2000,0.28,0.16,0.1,0.1,0.21,0.41,0.5,0.56,0.78,0.58,0.4,0.35,0.37
GWETTOP,2001,0.33,0.19,0.13,0.13,0.22,0.34,0.53,0.66,0.58,0.56,0.41,0.36,0.37
GWETTOP,2002,0.35,0.35,0.22,0.08,0.14,0.32,0.36,0.49,0.64,0.49,0.38,0.35,0.35
GWETTOP,2003,0.35,0.35,0.23,0.16,0.12,0.23,0.45,0.56,0.73,0.67,0.5,0.42,0.4
GWETTOP,2004,0.42,0.38,0.25,0.13,0.18,0.45,0.59,0.55,0.48,0.42,0.35,0.31,0.38
GWETTOP,2005,0.29,0.3,0.22,0.11,0.19,0.19,0.64,0.66,0.65,0.53,0.42,0.37,0.38
GWETTOP,2006,0.33,0.23,0.25,0.2,0.21,0.39,0.62,0.61,0.49,0.38,0.35,0.32,0.37
GWETTOP,2007,0.19,0.32,0.35,0.19,0.26,0.27,0.49,0.71,0.71,0.58,0.42,0.37,0.41
GWETTOP,2008,0.32,0.26,0.12,0.17,0.19,0.51,0.86,0.92,0.86,0.79,0.67,0.58,0.52
GWETTOP,2009,0.47,0.38,0.29,0.13,0.19,0.2,0.46,0.58,0.75,0.65,0.5,0.43,0.42
GWETTOP,2010,0.39,0.36,0.24,0.08,0.16,0.21,0.49,0.65,0.72,0.59,0.44,0.39,0.39
GWETTOP,2011,0.35,0.32,0.18,0.15,0.2,0.33,0.7,0.83,0.82,0.72,0.57,0.46,0.47
GWETTOP,2012,0.48,0.39,0.3,0.19,0.08,0.12,0.56,0.76,0.84,0.75,0.61,0.47,0.46
GWETTOP,2013,0.41,0.45,0.36,0.21,0.09,0.43,0.74,0.75,0.67,0.68,0.54,0.43,0.48
GWETTOP,2014,0.43,0.41,0.35,0.16,0.14,0.23,0.49,0.54,0.5,0.47,0.39,0.37,0.37
GWETTOP,2015,0.39,0.35,0.37,0.34,0.21,0.19,0.52,0.53,0.39,0.3,0.19,0.22,0.33
GWETTOP,2016,0.2,0.18,0.21,0.1,0.21,0.34,0.65,0.77,0.74,0.64,0.47,0.39,0.41
GWETTOP,2017,0.36,0.33,0.21,0.11,0.19,0.3,0.74,0.79,0.8,0.66,0.49,0.4,0.45
GWETTOP,2018,0.35,0.31,0.14,0.19,0.19,0.3,0.55,0.9,0.88,0.7,0.52,0.42,0.46
GWETTOP,2019,0.39,0.38,0.32,0.16,0.1,0.23,0.69,0.78,0.79,0.84,0.74,0.67,0.51
GWETTOP,2020,0.65,0.54,0.44,0.33,0.27,0.42,0.67,0.74,0.65,0.47,0.37,0.34,0.49
